severity,index,name,issue,value,duplicateCount,similarity,keyword,equipment
"WARNING","122","Tuck jump","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","124","Skater jumps","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","127","Pájaro en bosu","LOW_NAME_DESCRIPTION_RELATION","","","0.053","",""
"WARNING","128","Single leg deadlift","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","140","Jumping jacks","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","142","Arm circles","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","143","Leg swings","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","144","Trotar en el lugar","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","150","Caminata lenta","GENERIC_DESCRIPTION","","","","",""
"WARNING","151","Respiración diafragmática","GENERIC_DESCRIPTION","","","","",""
"WARNING","152","Estiramiento de espalda","GENERIC_DESCRIPTION","","","","",""
"WARNING","153","Estiramiento de hombros","GENERIC_DESCRIPTION","","","","",""
"WARNING","154","Estiramiento de piernas","GENERIC_DESCRIPTION","","","","",""
"WARNING","155","Foam roller de espalda","GENERIC_DESCRIPTION","","","","",""
"WARNING","156","Shavasana","GENERIC_DESCRIPTION","","","","",""
"WARNING","157","Meditación","GENERIC_DESCRIPTION","","","","",""
"WARNING","158","Vacío abdominal","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","159","Kegel","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","160","Respiración costal","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","161","Activación glútea","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","163","Masaje con pelota","GENERIC_DESCRIPTION","","","","",""
"WARNING","164","Rotaciones de cadera en 90/90","GENERIC_DESCRIPTION","","","","",""
"WARNING","184","Retracción de mentón","GENERIC_DESCRIPTION","","","","",""
"WARNING","195","Rechazo escapular","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
"WARNING","201","Depresión escapular","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","202","Rotaciones escapulares","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","219","Estocada isométrica","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
"WARNING","236","Perro ave","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","237","Gato vaca","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","242","Plancha lateral","GENERIC_DESCRIPTION","","","","",""
"WARNING","245","Tire Flip","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","249","Sprint multidireccional","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","254","Cone Shuttle","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","255","Power Clean","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","256","Salto reactivo","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","257","Shuffle reactivo","LOW_NAME_DESCRIPTION_RELATION","","","0.048","",""
"WARNING","258","Sprint reactivo","LOW_NAME_DESCRIPTION_RELATION","","","0.063","",""
"WARNING","261","Shuffle reactivo","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","262","Step Jacks","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","263","Marcha con rodillas elevadas","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","264","Medio burpee","LOW_NAME_DESCRIPTION_RELATION","","","0.05","",""
"WARNING","267","Plancha con paso lateral","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
