id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt5vt5tn0072y6cpnow15ciq","cmt5vt5tn006xy6cpx397pden","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt5vt5tn0073y6cpox84q93a","cmt5vt5tn006xy6cpx397pden","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt5vt5tn0074y6cp7ggdk7do","cmt5vt5tn006xy6cpx397pden","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt5vt5tn0075y6cph1kjkm1t","cmt5vt5tn006xy6cpx397pden","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt5vt5tn0078y6cpjgqzqrbm","cmt5vt5tn0076y6cpz69ludbt","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt5vt5tn0079y6cptbot3qmq","cmt5vt5tn0076y6cpz69ludbt","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt5vt5tn007ay6cpbs8mfu49","cmt5vt5tn0076y6cpz69ludbt","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt5vt5tn007by6cpc36c20lp","cmt5vt5tn0076y6cpz69ludbt","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt5vt5tn007cy6cphov0p279","cmt5vt5tn0076y6cpz69ludbt","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt5vt5tn007dy6cpftt2i010","cmt5vt5tn0076y6cpz69ludbt","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt5vt5tn007ey6cpiy3bpxgn","cmt5vt5tn0076y6cpz69ludbt","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt5vt5tn007hy6cpiufonl6c","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt5vt5tn007iy6cpni020zc9","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt5vt5tn007jy6cp3i9vdaou","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wco0e00219ylda8s3o89y","3","10",,"60s","2",
"cmt5vt5tn007ky6cpymqedlg9","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt5vt5tn007ly6cpa8b8uta5","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt5vt5tn007my6cpxqulm16z","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
"cmt5vt5tn007ny6cp8hu0a543","cmt5vt5tn007fy6cpd9yyq4cw","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
"cmt5vt5tn007qy6cpjrziud88","cmt5vt5tn007oy6cpt23k6zld","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt5vt5tn007ry6cpc9erai0w","cmt5vt5tn007oy6cpt23k6zld","cmt1wcjhf00079yld2nduorws","3","10",,"60s","1",
"cmt5vt5tn007sy6cpyuxk1xkv","cmt5vt5tn007oy6cpt23k6zld","cmt1wcj7t00039yldl0jfmsq1","3","10",,"60s","2",
"cmt5vt5tn007ty6cpveflsksm","cmt5vt5tn007oy6cpt23k6zld","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt5vt5tn007uy6cp7n1o21xa","cmt5vt5tn007oy6cpt23k6zld","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt5vt5tn007vy6cpg69dxjpl","cmt5vt5tn007oy6cpt23k6zld","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt5vt5tn007wy6cp6s1h19ql","cmt5vt5tn007oy6cpt23k6zld","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt5vt5to007zy6cpyd6uljqe","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt5vt5to0080y6cpf7ocx9hd","cmt5vt5tn007xy6cpuj7h4eqh","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt5vt5to0081y6cpa4lqalxp","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt5vt5to0082y6cpeh0j4bha","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt5vt5to0083y6cpspaaasds","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt5vt5to0084y6cpa7kjoub8","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt5vt5to0085y6cppsmzubvl","cmt5vt5tn007xy6cpuj7h4eqh","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt5vt5to0088y6cpvodaqa6g","cmt5vt5to0086y6cpynbn58m5","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt5vt5to0089y6cpsrckjy76","cmt5vt5to0086y6cpynbn58m5","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt5vt5to008ay6cpk2vfu7d4","cmt5vt5to0086y6cpynbn58m5","cmt1wco0e00219ylda8s3o89y","3","10",,"60s","2",
"cmt5vt5to008by6cpw77fgwvs","cmt5vt5to0086y6cpynbn58m5","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt5vt5to008cy6cpljxt443b","cmt5vt5to0086y6cpynbn58m5","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt5vt5to008dy6cpbxnau5cx","cmt5vt5to0086y6cpynbn58m5","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
