id,routineId,routineDayId,memberId,startedAt,completedAt,notes
"cmt7rrcij000brow1pmhfrfdy","cmt63fqxq0001cnwqlbdudtt7","cmt63fqxr0002cnwquzz28r3n","cmt1wzns60000ipge23uphk21","2026-08-24T21:49:46.652Z","2026-08-24T21:50:09.090Z",
"cmt963x6r0001dabvg1j42ty7","cmt63fqxq0001cnwqlbdudtt7","cmt63fqxr000bcnwq9ko6cfos","cmt1wzns60000ipge23uphk21","2026-08-25T21:19:14.116Z","2026-08-25T21:41:22.149Z",
"cmtbu6b2c00018950gycr28el","cmt63fqxq0001cnwqlbdudtt7","cmt63fqxs000kcnwq34kneumj","cmt1wzns60000ipge23uphk21","2026-08-27T18:08:28.548Z","2026-08-27T18:10:58.995Z",
